ITEMS,MPA ALLOC,MPA MEM,DICT ALLOC, DICT MEM,LIST ALLOC,LIST MEM
1000,6.0146,9420,1.3664,25944,0.049,7936
5000,0.3927,41060,0.1962,113144,0.0832,65280
10000,0.7009,82400,0.4058,235504,0.175,130816
50000,3.8051,413120,2.5064,1017656,0.8119,524032
100000,7.9594,826520,5.7853,2111840,1.6817,1048320
500000,51.3065,4133720,38.6378,9084344,12.9981,4194048
1000000,59.0294,8268464,90.9249,18839488,20.3997,8388352
5000000,472.9361,41339720,717.2128,167985008,117.1484,67108616
10000000,1318.177,82759720,1658.6577,335970344,288.4899,134217472
50000000,12242.3744,414120472,8942.3354,1343883656,1427.6275,536870656
